seed,measurement_ratio,method,sample_id,rmse,mae,relative_l2,support_f1,m
7,0.3,hybrid_lfista_frozen,31,0.30900795352345634,0.2552026623064171,0.48416289639158394,0.09022556390968692,38
7,0.3,hybrid_lfista_joint,31,0.30883093481107465,0.2549763260515624,0.48388553818275803,0.08955223880588327,38
7,0.3,ml_only_torch,32,0.4529414268632323,0.344457463837716,0.6740037082063866,,38
7,0.3,hybrid_lfista_frozen,32,0.3714314648276682,0.3015654570711961,0.5527120501476487,0.09022556390968692,38
7,0.3,hybrid_lfista_joint,32,0.37119139526713835,0.3014245552416144,0.5523548124024833,0.09022556390968692,38
7,0.3,ml_only_torch,33,0.4486372833907342,0.3497366544496761,0.7215646417742171,,38
7,0.3,hybrid_lfista_frozen,33,0.377580887522002,0.29795185132870133,0.607281266921186,0.09022556390968692,38
7,0.3,hybrid_lfista_joint,33,0.3773872874490043,0.2976781751179198,0.6069698907326888,0.09022556390968692,38
7,0.3,ml_only_torch,34,0.4373283305920311,0.33126317944367223,0.6607607002365209,,38
7,0.3,hybrid_lfista_frozen,34,0.3532855096932244,0.27242973129116554,0.5337801474061759,0.09090909090900273,38
7,0.3,hybrid_lfista_joint,34,0.35301608305188126,0.2722863752228729,0.5333730698771366,0.08955223880588327,38
7,0.3,ml_only_torch,35,0.45870069146736786,0.3746621900676705,0.6002431717533024,,38
7,0.3,hybrid_lfista_frozen,35,0.3746667702994503,0.2951633776202076,0.49027868223980403,0.09090909090900273,38
7,0.3,hybrid_lfista_joint,35,0.3743567255913168,0.2953297680982715,0.48987296621962534,0.09090909090900273,38
7,0.3,ml_only_torch,36,0.379409531992818,0.29231551133181777,0.5511976521951635,,38
7,0.3,hybrid_lfista_frozen,36,0.32057235124065103,0.24805023705727297,0.46572031660468394,0.09090909090900273,38
7,0.3,hybrid_lfista_joint,36,0.32043699695720235,0.24778815141366212,0.4655236769397298,0.09022556390968692,38
7,0.3,ml_only_torch,37,0.6306036027594424,0.49438677784187185,0.7894813335759476,,38
7,0.3,hybrid_lfista_frozen,37,0.5064761341387778,0.40559221261791756,0.6340805096173955,0.08955223880588327,38
7,0.3,hybrid_lfista_joint,37,0.5058673095526074,0.4055582623812334,0.6333182944253155,0.08955223880588327,38
7,0.3,ml_only_torch,38,0.4252597681628241,0.30546181329109307,0.549260338153319,,38
7,0.3,hybrid_lfista_frozen,38,0.3508496837329342,0.25986050237913727,0.4531531791983487,0.08955223880588327,38
7,0.3,hybrid_lfista_joint,38,0.35072849775951503,0.2600068865829689,0.45299665687076707,0.08955223880588327,38
7,0.3,ml_only_torch,39,0.4393080587220781,0.3417074060377274,0.5991750016595451,,38
7,0.3,hybrid_lfista_frozen,39,0.36337128389155854,0.2853396772901662,0.49560436078067693,0.09022556390968692,38
7,0.3,hybrid_lfista_joint,39,0.36308653210232533,0.28515892079157235,0.4952159860390828,0.09090909090900273,38
7,0.3,ml_only_torch,40,0.41430666168131125,0.3240787354663791,0.5975238845499226,,38
7,0.3,hybrid_lfista_frozen,40,0.3540972883415554,0.27560277653993415,0.5106883543214442,0.09090909090900273,38
7,0.3,hybrid_lfista_joint,40,0.3540463886525549,0.27545449575428227,0.510614945461035,0.09022556390968692,38
7,0.3,ml_only_torch,41,0.3811541368134199,0.3056210868506577,0.5042899252964017,,38
7,0.3,hybrid_lfista_frozen,41,0.31054580173396357,0.2461054637063449,0.4108708368399318,0.09022556390968692,38
7,0.3,hybrid_lfista_joint,41,0.3102064173834105,0.24590475172256498,0.4104218108626249,0.08955223880588327,38
7,0.3,ml_only_torch,42,0.45138493511002564,0.34759160141574097,0.5556902803898356,,38
7,0.3,hybrid_lfista_frozen,42,0.4032721726804019,0.3085832108283647,0.4964596938875849,0.08955223880588327,38
7,0.3,hybrid_lfista_joint,42,0.4032035854085379,0.3087889761466066,0.496375257573103,0.09022556390968692,38
7,0.3,ml_only_torch,43,0.4010196315281637,0.31227510438588735,0.6220154577390009,,38
7,0.3,hybrid_lfista_frozen,43,0.3478801720884742,0.27168014830823634,0.5395916495542883,0.09090909090900273,38
7,0.3,hybrid_lfista_joint,43,0.34779711169590166,0.27140126613343163,0.5394628158413124,0.09090909090900273,38
7,0.3,ml_only_torch,44,0.37465939679918747,0.2949371986151349,0.5454869474706358,,38
7,0.3,hybrid_lfista_frozen,44,0.29747618326958014,0.24078428522894346,0.43311171838541385,0.09022556390968692,38
7,0.3,hybrid_lfista_joint,44,0.29700537482833594,0.24045649906959365,0.432426242826408,0.09022556390968692,38
7,0.3,ml_only_torch,45,0.4736107712428142,0.38346339235232596,0.6624947430933646,,38
7,0.3,hybrid_lfista_frozen,45,0.4030267353679929,0.32685109938628276,0.563760601995445,0.08955223880588327,38
7,0.3,hybrid_lfista_joint,45,0.40279868972811855,0.32644225629936674,0.5634416079041457,0.08955223880588327,38
7,0.3,ml_only_torch,46,0.3840917802694967,0.30828673089151415,0.6806127834026187,,38
7,0.3,hybrid_lfista_frozen,46,0.3308861592991702,0.2780282137837972,0.586332125389395,0.08955223880588327,38
